Best: 0.014545 using {'nb_epoch': 50, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 30}
0.006545 (0.000888) with: {'nb_epoch': 50, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 1}
0.005454 (0.001541) with: {'nb_epoch': 100, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 1}
0.004363 (0.001780) with: {'nb_epoch': 200, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 1}
0.003999 (0.002056) with: {'nb_epoch': 500, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 1}
0.009088 (0.004903) with: {'nb_epoch': 50, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 5}
0.005453 (0.002355) with: {'nb_epoch': 100, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 5}
0.005090 (0.002719) with: {'nb_epoch': 200, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 5}
0.005454 (0.001541) with: {'nb_epoch': 500, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 5}
0.010544 (0.004013) with: {'nb_epoch': 50, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 10}
0.009089 (0.004903) with: {'nb_epoch': 100, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 10}
0.004728 (0.002721) with: {'nb_epoch': 200, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 10}
0.004362 (0.002671) with: {'nb_epoch': 500, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 10}
0.012724 (0.006740) with: {'nb_epoch': 50, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 20}
0.008724 (0.005560) with: {'nb_epoch': 100, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 20}
0.006907 (0.006742) with: {'nb_epoch': 200, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 20}
0.006909 (0.001359) with: {'nb_epoch': 500, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 20}
0.014543 (0.006251) with: {'nb_epoch': 50, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 30}
0.009089 (0.004111) with: {'nb_epoch': 100, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 30}
0.007635 (0.004626) with: {'nb_epoch': 200, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 30}
0.007636 (0.003880) with: {'nb_epoch': 500, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 30}

Best: 0.017818 using {'nb_epoch': 50, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 1000}
0.002181 (0.001542) with: {'nb_epoch': 10, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 500}
0.008363 (0.003370) with: {'nb_epoch': 30, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 500}
0.011270 (0.007778) with: {'nb_epoch': 50, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 500}
0.002181 (0.002356) with: {'nb_epoch': 10, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 1000}
0.006907 (0.007573) with: {'nb_epoch': 30, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 1000}
0.017816 (0.005925) with: {'nb_epoch': 50, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 1000}

Best: 0.025091 using {'nb_epoch': 100, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 1000}
0.019996 (0.010239) with: {'nb_epoch': 50, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 500}
0.023271 (0.004104) with: {'nb_epoch': 75, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 500}
0.021089 (0.004200) with: {'nb_epoch': 100, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 500}
0.015998 (0.013629) with: {'nb_epoch': 50, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 750}
0.021088 (0.006435) with: {'nb_epoch': 75, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 750}
0.023271 (0.003362) with: {'nb_epoch': 100, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 750}
0.005820 (0.002867) with: {'nb_epoch': 50, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 1000}
0.023271 (0.003362) with: {'nb_epoch': 75, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 1000}
0.025088 (0.006715) with: {'nb_epoch': 100, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 1000}

Best: 0.023273 using {'nb_epoch': 100, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 1200}
0.010543 (0.004902) with: {'nb_epoch': 100, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 100}
0.010180 (0.003596) with: {'nb_epoch': 200, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 100}
0.009818 (0.000887) with: {'nb_epoch': 300, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 100}
0.023271 (0.003362) with: {'nb_epoch': 100, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 1200}
0.018180 (0.004898) with: {'nb_epoch': 200, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 1200}
0.020362 (0.003592) with: {'nb_epoch': 300, 'validation_split': 0.33, 'verbose': 2, 'batch_size': 1200}

Best: 0.024000 using {'callbacks': [<keras.callbacks.ModelCheckpoint object at 0x000000001DAB27B8>], 'nb_epoch': 125, 'validation_split': 0.33, 'verbose': 1, 'batch_size': 1000}
0.023271 (0.005434) with: {'callbacks': [<keras.callbacks.ModelCheckpoint object at 0x000000001DAB27B8>], 'nb_epoch': 100, 'validation_split': 0.33, 'verbose': 1, 'batch_size': 1000}
0.023998 (0.004618) with: {'callbacks': [<keras.callbacks.ModelCheckpoint object at 0x000000001DAB27B8>], 'nb_epoch': 125, 'validation_split': 0.33, 'verbose': 1, 'batch_size': 1000}
0.020360 (0.006736) with: {'callbacks': [<keras.callbacks.ModelCheckpoint object at 0x000000001DAB27B8>], 'nb_epoch': 150, 'validation_split': 0.33, 'verbose': 1, 'batch_size': 1000}
